1 Ave & E 110 St	 (1, 1) 
1 Ave & E 16 St	 (16, 20) 
1 Ave & E 18 St	 (148, 163) 
1 Ave & E 30 St	 (5, 13) 
1 Ave & E 44 St	 (8, 8) 
1 Ave & E 62 St	 (7, 8) 
1 Ave & E 68 St	 (14, 7) 
1 Ave & E 78 St	 (181, 178) 
1 Ave & E 94 St	 (2, 5) 
1 Pl & Clinton St	 (2, 2) 
10 St & 5 Ave	 (1, 0) 
10 St & 7 Ave	 (1, 1) 
11 Ave & W 41 St	 (5, 11) 
11 Ave & W 59 St	 (5, 9) 
11 St & 43 Ave	 (0, 1) 
12 Ave & W 40 St	 (26, 24) 
12 St & 4 Ave	 (1, 0) 
14 St & 5 Ave	 (0, 1) 
19 St & 24 Ave	 (1, 1) 
2 Ave & E 104 St	 (1, 1) 
2 Ave & E 31 St	 (11, 6) 
2 Ave & E 72 St	 (8, 14) 
2 Ave & E 96 St	 (4, 1) 
21 St & 31 Dr	 (0, 1) 
21 St & 43 Ave	 (1, 1) 
21 St & Queens Plaza North	 (1, 0) 
24 St & 41 Ave	 (0, 1) 
27 St & Hunter St	 (1, 1) 
3 Ave & 14 St	 (2, 1) 
3 Ave & Carroll St	 (1, 1) 
3 Ave & E 62 St	 (3, 3) 
3 Ave & E 72 St	 (4, 2) 
3 Ave & E 95 St	 (2, 3) 
3 Ave & Schermerhorn St	 (3, 0) 
3 St & 3 Ave	 (2, 4) 
3 St & 7 Ave	 (52, 52) 
3 St & Hoyt St	 (1, 2) 
3 St & Prospect Park West	 (0, 2) 
31 Ave & 30 St	 (0, 1) 
31 Ave & 34 St	 (0, 1) 
31 St & Newtown Ave	 (1, 0) 
31 St & Northern Blvd	 (0, 1) 
31 St & Thomson Ave	 (0, 1) 
34 Ave & 38 St	 (1, 0) 
35 Ave & 37 St	 (1, 1) 
36 Ave & 10 St	 (0, 3) 
37 Ave & 35 St	 (1, 1) 
43 St & Broadway	 (0, 1) 
44 Dr & 21 St	 (2, 0) 
44 Dr & Jackson Ave	 (5, 2) 
45 Rd & 11 St	 (3, 5) 
46 Ave & 5 St	 (6, 5) 
47 Ave & 31 St	 (3, 2) 
47 Ave & Skillman Ave	 (0, 1) 
48 Ave & 5 St	 (4, 3) 
49 Ave & 21 St	 (0, 1) 
5 Ave & 3 St	 (3, 3) 
5 Ave & E 29 St	 (9, 8) 
5 Ave & E 63 St	 (1, 3) 
5 Ave & E 73 St	 (3, 8) 
5 Ave & E 78 St	 (0, 4) 
5 Ave & E 88 St	 (4, 6) 
5 Ave & E 93 St	 (1, 1) 
5 St & 51 Ave	 (1, 0) 
6 Ave & 9 St	 (4, 1) 
6 Ave & Broome St	 (12, 15) 
6 Ave & Canal St	 (17, 13) 
6 St & 7 Ave	 (2, 2) 
7 Ave & Central Park South	 (11, 4) 
7 Ave & Park Pl	 (11, 15) 
7 St & 3 Ave	 (1, 0) 
7 St & 5 Ave	 (1, 0) 
8 Ave & W 31 St	 (20, 22) 
8 Ave & W 33 St	 (14, 20) 
8 Ave & W 52 St	 (5, 5) 
9 Ave & W 28 St	 (13, 5) 
9 Ave & W 45 St	 (6, 9) 
9 St & 44 Rd	 (2, 1) 
Adam Clayton Powell Blvd & W 126 St	 (1, 2) 
Adelphi St & Myrtle Ave	 (3, 3) 
Allen St & Hester St	 (11, 3) 
Allen St & Rivington St	 (8, 1) 
Allen St & Stanton St	 (24, 19) 
Amsterdam Ave & W 119 St	 (0, 1) 
Amsterdam Ave & W 66 St	 (5, 7) 
Amsterdam Ave & W 73 St	 (6, 10) 
Amsterdam Ave & W 79 St	 (2, 5) 
Amsterdam Ave & W 82 St	 (2, 2) 
Atlantic Ave & Fort Greene Pl	 (2, 4) 
Atlantic Ave & Furman St	 (2, 4) 
Avenue C & E 18 St	 (2, 2) 
Avenue D & E 12 St	 (5, 1) 
Avenue D & E 3 St	 (7, 8) 
Avenue D & E 8 St	 (4, 4) 
Baltic St & 5 Ave	 (5, 5) 
Bank St & Hudson St	 (140, 140) 
Bank St & Washington St	 (9, 3) 
Banker St & Meserole Ave	 (2, 5) 
Barclay St & Church St	 (15, 16) 
Barrow St & Hudson St	 (12, 16) 
Bayard St & Baxter St	 (15, 6) 
Bayard St & Leonard St	 (1, 2) 
Bedford Ave & Bergen St	 (1, 0) 
Bedford Ave & Nassau Ave	 (2, 3) 
Bedford Ave & S 9 St	 (2, 5) 
Bergen St & Flatbush Ave	 (2, 2) 
Bergen St & Smith St	 (7, 5) 
Bergen St & Vanderbilt Ave	 (0, 2) 
Berkeley Pl & 6 Ave	 (1, 1) 
Berkeley Pl & 7 Ave	 (2, 4) 
Berry St & N 8 St	 (5, 1) 
Bialystoker Pl & Delancey St	 (2, 2) 
Boerum St & Broadway	 (1, 0) 
Bond St & Bergen St	 (3, 1) 
Bond St & Fulton St	 (1, 7) 
Broad St & Bridge St	 (67, 67) 
Broadway & Battery Pl	 (25, 17) 
Broadway & Berry St	 (7, 11) 
Broadway & E 14 St	 (31, 26) 
Broadway & E 22 St	 (31, 31) 
Broadway & Moylan Pl	 (1, 0) 
Broadway & Roebling St	 (2, 4) 
Broadway & W 25 St	 (12, 11) 
Broadway & W 29 St	 (14, 10) 
Broadway & W 37 St	 (7, 5) 
Broadway & W 38 St	 (3, 3) 
Broadway & W 41 St	 (15, 19) 
Broadway & W 49 St	 (8, 10) 
Broadway & W 51 St	 (3, 10) 
Broadway & W 53 St	 (3, 7) 
Broadway & W 56 St	 (7, 12) 
Broadway & W 60 St	 (17, 21) 
Broadway & Whipple St	 (1, 1) 
Bus Slip & State St	 (7, 13) 
Bushwick Ave & Powers St	 (0, 1) 
Butler St & Court St	 (2, 0) 
Cadman Plaza E & Johnson St	 (2, 1) 
Cadman Plaza E & Red Cross Pl	 (8, 12) 
Cadman Plaza West & Montague St	 (1, 1) 
Cambridge Pl & Gates Ave	 (1, 1) 
Canal St & Rutgers St	 (4, 12) 
Carlton Ave & Dean St	 (3, 2) 
Carlton Ave & Flushing Ave	 (1, 2) 
Carlton Ave & Park Ave	 (1, 0) 
Carmine St & 6 Ave	 (15, 19) 
Carroll St & 5 Ave	 (3, 1) 
Carroll St & 6 Ave	 (0, 3) 
Carroll St & Columbia St	 (0, 2) 
Carroll St & Franklin Ave	 (1, 1) 
Carroll St & Smith St	 (3, 1) 
Carroll St & Washington Ave	 (1, 0) 
Cathedral Pkwy & Broadway	 (0, 1) 
Catherine St & Monroe St	 (3, 1) 
Center Blvd & 48 Ave	 (3, 6) 
Center Blvd & 51 Ave	 (6, 6) 
Central Ave & Starr Street	 (0, 2) 
Central Park North & Adam Clayton Powell Blvd	 (0, 1) 
Central Park S & 6 Ave	 (3, 6) 
Central Park W & W 96 St	 (1, 4) 
Central Park West & W 100 St	 (2, 1) 
Central Park West & W 102 St	 (1, 1) 
Central Park West & W 68 St	 (6, 9) 
Central Park West & W 72 St	 (6, 4) 
Central Park West & W 76 St	 (2, 2) 
Central Park West & W 85 St	 (3, 7) 
Centre St & Chambers St	 (30, 20) 
Centre St & Worth St	 (4, 4) 
Cherry St	 (0, 4) 
Christopher St & Greenwich St	 (31, 22) 
Clark St & Henry St	 (6, 1) 
Classon Ave & St Marks Ave	 (48, 47) 
Clermont Ave & Lafayette Ave	 (1, 2) 
Clermont Ave & Park Ave	 (1, 2) 
Cleveland Pl & Spring St	 (21, 11) 
Cliff St & Fulton St	 (10, 9) 
Clinton Ave & Flushing Ave	 (1, 2) 
Clinton Ave & Myrtle Ave	 (76, 73) 
Clinton St & 4 Place	 (2, 2) 
Clinton St & Grand St	 (6, 9) 
Clinton St & Joralemon St	 (1, 0) 
Clinton St & Union St	 (5, 2) 
Coffey St & Conover St	 (1, 1) 
Columbia St & Degraw St	 (1, 1) 
Columbia St & Kane St	 (0, 4) 
Columbia St & Rivington St	 (3, 1) 
Columbus Ave & W 103 St	 (0, 1) 
Columbus Ave & W 72 St	 (8, 6) 
Columbus Ave & W 95 St	 (1, 2) 
Commerce St & Van Brunt St	 (1, 3) 
Concord St & Bridge St	 (2, 2) 
Congress St & Clinton St	 (5, 3) 
Cooper Square & Astor Pl	 (8, 13) 
Court St & State St	 (2, 4) 
Crown St & Bedford Ave	 (1, 0) 
Cumberland St & Lafayette Ave	 (2, 1) 
DeKalb Ave & Franklin Ave	 (1, 0) 
DeKalb Ave & Hudson Ave	 (4, 8) 
DeKalb Ave & S Portland Ave	 (0, 1) 
DeKalb Ave & Vanderbilt Ave	 (1, 2) 
Dean St & 4 Ave	 (2, 4) 
Dean St & Franklin Ave	 (3, 0) 
Dean St & Hoyt St	 (1, 2) 
Degraw St & Hoyt St	 (1, 0) 
Degraw St & Smith St	 (1, 1) 
Devoe St & Lorimer St	 (1, 0) 
Division Av & Hooper St	 (1, 0) 
Division St & Bowery	 (4, 2) 
Douglass St & 3 Ave	 (0, 1) 
Douglass St & 4 Ave	 (2, 3) 
Driggs Ave & N 9 St	 (0, 2) 
Driggs Ave & N Henry St	 (1, 3) 
Duane St & Greenwich St	 (6, 7) 
Duffield St & Willoughby St	 (4, 6) 
E 10 St & 5 Ave	 (4, 8) 
E 10 St & Avenue A	 (15, 10) 
E 102 St & 1 Ave	 (3, 2) 
E 102 St & Park Ave	 (1, 0) 
E 106 St & Lexington Ave	 (0, 1) 
E 106 St & Madison Ave	 (0, 2) 
E 109 St & 3 Ave	 (0, 2) 
E 11 St & 1 Ave	 (157, 155) 
E 11 St & 2 Ave	 (8, 10) 
E 11 St & Avenue B	 (3, 9) 
E 114 St & 1 Ave	 (0, 1) 
E 115 St & Lexington Ave	 (0, 1) 
E 118 St & 1 Ave	 (1, 0) 
E 118 St & 3 Ave	 (1, 0) 
E 12 St & 3 Ave	 (10, 14) 
E 13 St & Avenue A	 (10, 7) 
E 15 St & 3 Ave	 (19, 12) 
E 16 St & 5 Ave	 (15, 4) 
E 16 St & Irving Pl	 (10, 4) 
E 17 St & Broadway	 (25, 18) 
E 19 St & 3 Ave	 (5, 7) 
E 2 St & 2 Ave	 (5, 3) 
E 2 St & Avenue A	 (13, 12) 
E 2 St & Avenue B	 (8, 4) 
E 2 St & Avenue C	 (127, 128) 
E 20 St & 2 Ave	 (9, 5) 
E 20 St & FDR Drive	 (12, 14) 
E 20 St & Park Ave	 (11, 13) 
E 23 St & 1 Ave	 (230, 231) 
E 24 St & Park Ave S	 (14, 19) 
E 25 St & 1 Ave	 (3, 13) 
E 25 St & 2 Ave	 (12, 11) 
E 27 St & 1 Ave	 (6, 9) 
E 30 St & Park Ave S	 (4, 7) 
E 31 St & 3 Ave	 (5, 5) 
E 32 St & Park Ave	 (5, 12) 
E 33 St & 1 Ave	 (10, 13) 
E 33 St & 5 Ave	 (11, 10) 
E 39 St & 2 Ave	 (11, 19) 
E 39 St & 3 Ave	 (8, 6) 
E 4 St & 2 Ave	 (16, 8) 
E 41 St & Madison Ave	 (6, 8) 
E 43 St & 2 Ave	 (4, 3) 
E 43 St & 5 Ave	 (12, 7) 
E 45 St & 3 Ave	 (9, 6) 
E 47 St & 1 Ave	 (1, 4) 
E 47 St & 2 Ave	 (5, 5) 
E 47 St & Park Ave	 (15, 20) 
E 48 St & 3 Ave	 (3, 2) 
E 48 St & 5 Ave	 (5, 19) 
E 5 St & Avenue C	 (5, 6) 
E 51 St & 1 Ave	 (4, 6) 
E 51 St & Lexington Ave	 (93, 92) 
E 52 St & 2 Ave	 (6, 5) 
E 53 St & 3 Ave	 (8, 6) 
E 53 St & Madison Ave	 (12, 7) 
E 55 St & 2 Ave	 (9, 14) 
E 55 St & 3 Ave	 (4, 7) 
E 55 St & Lexington Ave	 (3, 5) 
E 58 St &  1 Ave (NW Corner)	 (7, 2) 
E 58 St & 1 Ave (NE Corner)	 (4, 0) 
E 58 St & 3 Ave	 (7, 7) 
E 59 St & Madison Ave	 (131, 129) 
E 6 St & Avenue B	 (9, 9) 
E 6 St & Avenue D	 (4, 4) 
E 60 St & York Ave	 (0, 2) 
E 65 St & 2 Ave	 (7, 3) 
E 66 St & Madison Ave	 (1, 1) 
E 67 St & Park Ave	 (2, 1) 
E 68 St & 3 Ave	 (2, 6) 
E 68 St & Madison Ave	 (0, 2) 
E 7 St & Avenue A	 (8, 5) 
E 72 St & Park Ave	 (2, 4) 
E 72 St & York Ave	 (7, 10) 
E 74 St & 1 Ave	 (5, 4) 
E 75 St & 3 Ave	 (1, 2) 
E 76 St & Park Ave	 (8, 1) 
E 77 St & 3 Ave	 (14, 15) 
E 78 St & 2 Ave	 (3, 2) 
E 81 St & 2 Ave	 (3, 4) 
E 81 St & 3 Ave	 (3, 7) 
E 81 St & Park Ave	 (1, 0) 
E 81 St & York Ave	 (84, 68) 
E 82 St & East End Ave	 (2, 2) 
E 84 St & 1 Ave	 (5, 6) 
E 84 St & 3 Ave	 (4, 6) 
E 84 St & Park Ave	 (2, 2) 
E 85 St & York Ave	 (4, 0) 
E 88 St & 1 Ave	 (4, 12) 
E 88 St & Park Ave	 (1, 1) 
E 89 St & 3 Ave	 (0, 6) 
E 89 St & York Ave	 (3, 3) 
E 9 St & Avenue C	 (9, 9) 
E 91 St & 2 Ave	 (5, 11) 
E 91 St & Park Ave	 (2, 4) 
E 93 St & 2 Ave	 (1, 2) 
E 97 St & 3 Ave	 (0, 1) 
E 97 St & Madison Ave	 (1, 0) 
East End Ave & E 86 St	 (3, 3) 
Eastern Pkwy & Franklin Ave	 (4, 4) 
Eastern Pkwy & Washington Ave	 (4, 4) 
Eckford St & Engert Ave	 (1, 0) 
Emerson Pl & Myrtle Ave	 (0, 2) 
FDR Drive & E 35 St	 (8, 7) 
Flushing Ave & Vanderbilt Ave	 (0, 1) 
Forsyth St & Broome St	 (8, 13) 
Forsyth St & Canal St	 (10, 2) 
Franklin Ave & Empire Blvd	 (1, 1) 
