1 Ave & E 16 St	 (11, 12) 
1 Ave & E 18 St	 (142, 122) 
1 Ave & E 30 St	 (3, 11) 
1 Ave & E 44 St	 (3, 9) 
1 Ave & E 62 St	 (4, 4) 
1 Ave & E 68 St	 (10, 3) 
1 Ave & E 78 St	 (88, 92) 
1 Ave & E 94 St	 (3, 1) 
1 Pl & Clinton St	 (1, 1) 
10 St & 7 Ave	 (2, 1) 
11 Ave & W 27 St	 (2, 2) 
11 Ave & W 41 St	 (2, 2) 
11 Ave & W 59 St	 (6, 8) 
12 Ave & W 40 St	 (8, 13) 
12 St & 4 Ave	 (0, 1) 
14 St & 5 Ave	 (1, 2) 
14 St & 7 Ave	 (2, 1) 
2 Ave & E 122 St	 (1, 1) 
2 Ave & E 31 St	 (7, 2) 
2 Ave & E 72 St	 (8, 6) 
2 Ave & E 96 St	 (1, 1) 
21 St & 43 Ave	 (1, 0) 
21 St & Queens Plaza North	 (1, 0) 
3 Ave & E 62 St	 (1, 3) 
3 Ave & E 72 St	 (1, 1) 
3 Ave & E 95 St	 (0, 1) 
3 Ave & Schermerhorn St	 (1, 1) 
3 St & 3 Ave	 (1, 0) 
3 St & 7 Ave	 (34, 28) 
3 St & Hoyt St	 (0, 1) 
3 St & Prospect Park West	 (1, 1) 
31 St & Thomson Ave	 (0, 1) 
34 Ave & 13 St	 (1, 0) 
35 St & 34 Ave	 (1, 0) 
4 Ave & 9 St	 (0, 1) 
40 Ave & 9 St	 (1, 0) 
44 Dr & Jackson Ave	 (2, 0) 
46 Ave & 5 St	 (2, 7) 
47 Ave & 31 St	 (1, 1) 
48 Ave & 30 Pl	 (1, 2) 
49 Ave & 21 St	 (1, 0) 
5 Ave & 3 St	 (2, 0) 
5 Ave & E 29 St	 (4, 10) 
5 Ave & E 63 St	 (1, 3) 
5 Ave & E 73 St	 (1, 2) 
5 Ave & E 78 St	 (1, 2) 
5 Ave & E 93 St	 (0, 1) 
5 St & 51 Ave	 (0, 2) 
5 St & Market St	 (1, 0) 
6 Ave & 12 St	 (0, 1) 
6 Ave & 9 St	 (2, 3) 
6 Ave & Broome St	 (5, 7) 
6 Ave & Canal St	 (12, 10) 
7 Ave & Central Park South	 (3, 2) 
7 Ave & Park Pl	 (6, 4) 
7 St & 5 Ave	 (1, 2) 
8 Ave & W 31 St	 (11, 9) 
8 Ave & W 33 St	 (9, 12) 
8 Ave & W 52 St	 (6, 3) 
9 Ave & W 18 St	 (2, 2) 
9 Ave & W 28 St	 (2, 2) 
9 Ave & W 45 St	 (3, 6) 
9 St & 44 Rd	 (0, 1) 
Adelphi St & Myrtle Ave	 (1, 3) 
Allen St & Hester St	 (2, 5) 
Allen St & Rivington St	 (7, 6) 
Allen St & Stanton St	 (11, 8) 
Amsterdam Ave & W 66 St	 (3, 0) 
Amsterdam Ave & W 73 St	 (4, 3) 
Amsterdam Ave & W 79 St	 (0, 3) 
