1 Ave & E 16 St	 (24, 24) 
1 Ave & E 18 St	 (201, 196) 
1 Ave & E 30 St	 (8, 19) 
1 Ave & E 44 St	 (7, 6) 
1 Ave & E 62 St	 (16, 11) 
1 Ave & E 68 St	 (8, 11) 
1 Ave & E 78 St	 (186, 180) 
1 Ave & E 94 St	 (0, 5) 
1 Pl & Clinton St	 (2, 4) 
10 Ave & W 28 St	 (5, 6) 
10 Hudson Yards	 (1, 2) 
10 St & 2 Ave	 (0, 1) 
10 St & 5 Ave	 (0, 1) 
10 St & 7 Ave	 (4, 3) 
11 Ave & W 27 St	 (14, 17) 
11 Ave & W 41 St	 (9, 5) 
11 Ave & W 59 St	 (10, 12) 
11 St & 43 Ave	 (4, 0) 
12 Ave & W 40 St	 (17, 37) 
14 St & 5 Ave	 (1, 0) 
14 St & 7 Ave	 (4, 2) 
2 Ave & 36 St - Citi Bike HQ at Industry City	 (1, 0) 
2 Ave & E 31 St	 (11, 10) 
2 Ave & E 72 St	 (9, 10) 
2 Ave & E 96 St	 (2, 0) 
2 Ave & E 99 St	 (1, 0) 
21 St & 43 Ave	 (2, 3) 
27 St & Hunter St	 (1, 2) 
28 Ave & 35 St	 (1, 0) 
28 St & 38 Ave	 (1, 0) 
28 St & 41 Ave	 (1, 1) 
3 Ave & Carroll St	 (0, 1) 
3 Ave & E 62 St	 (5, 7) 
3 Ave & E 71 St	 (2, 1) 
3 Ave & E 72 St	 (0, 1) 
3 Ave & Schermerhorn St	 (2, 2) 
3 St & 3 Ave	 (2, 3) 
3 St & 7 Ave	 (62, 65) 
3 St & Prospect Park West	 (3, 5) 
31 Ave & 30 St	 (1, 0) 
31 St & Newtown Ave	 (0, 2) 
31 St & Northern Blvd	 (1, 0) 
31 St & Thomson Ave	 (2, 0) 
35 Ave & 37 St	 (0, 1) 
39 St & 2 Ave - Citi Bike HQ at Industry City	 (1, 1) 
40 Ave & Crescent St	 (0, 2) 
44 Dr & 21 St	 (2, 1) 
45 Rd & 11 St	 (6, 2) 
46 Ave & 5 St	 (9, 10) 
47 Ave & 31 St	 (2, 1) 
47 Ave & Skillman Ave	 (1, 2) 
48 Ave & 30 Pl	 (0, 2) 
48 Ave & 5 St	 (2, 1) 
49 Ave & 21 St	 (0, 2) 
5 Ave & 3 St	 (2, 4) 
5 Ave & E 103 St	 (0, 1) 
5 Ave & E 29 St	 (12, 10) 
5 Ave & E 63 St	 (4, 14) 
5 Ave & E 73 St	 (4, 3) 
5 Ave & E 78 St	 (8, 5) 
5 Ave & E 88 St	 (8, 0) 
5 Ave & E 93 St	 (0, 1) 
5 St & 51 Ave	 (3, 0) 
5 St & 6 Ave	 (3, 0) 
5 St & Market St	 (0, 1) 
6 Ave & 12 St	 (0, 1) 
6 Ave & 9 St	 (1, 4) 
6 Ave & Broome St	 (16, 14) 
6 Ave & Canal St	 (15, 16) 
6 Ave & W 33 St	 (9, 9) 
6 St & 7 Ave	 (1, 0) 
7 Ave & Central Park South	 (7, 5) 
7 Ave & Park Pl	 (12, 15) 
7 St & 3 Ave	 (1, 1) 
7 St & 5 Ave	 (2, 1) 
8 Ave & W 31 St	 (20, 30) 
8 Ave & W 33 St	 (14, 23) 
8 Ave & W 52 St	 (8, 6) 
9 Ave & W 18 St	 (14, 4) 
9 Ave & W 28 St	 (7, 4) 
9 Ave & W 45 St	 (11, 10) 
9 St & 44 Rd	 (0, 2) 
Adam Clayton Powell Blvd & W 123 St	 (1, 0) 
Adelphi St & Myrtle Ave	 (1, 4) 
Allen St & Hester St	 (16, 7) 
Allen St & Rivington St	 (12, 8) 
Allen St & Stanton St	 (18, 18) 
Amsterdam Ave & W 66 St	 (1, 5) 
Amsterdam Ave & W 73 St	 (11, 13) 
Amsterdam Ave & W 79 St	 (3, 3) 
Amsterdam Ave & W 82 St	 (0, 3) 
Atlantic Ave & Fort Greene Pl	 (5, 4) 
Atlantic Ave & Furman St	 (1, 1) 
Avenue C & E 18 St	 (7, 12) 
Avenue D & E 12 St	 (3, 3) 
Avenue D & E 3 St	 (7, 3) 
Avenue D & E 8 St	 (3, 1) 
Baltic St & 5 Ave	 (0, 1) 
Bank St & Hudson St	 (159, 157) 
Bank St & Washington St	 (9, 12) 
Banker St & Meserole Ave	 (3, 3) 
Barclay St & Church St	 (16, 16) 
Barrow St & Hudson St	 (7, 12) 
Bayard St & Baxter St	 (10, 8) 
Bayard St & Leonard St	 (4, 2) 
Bedford Ave & Bergen St	 (1, 1) 
Bedford Ave & Nassau Ave	 (7, 10) 
