1 Ave & E 110 St	 (0, 1) 
1 Ave & E 16 St	 (19, 8) 
1 Ave & E 18 St	 (186, 185) 
1 Ave & E 30 St	 (10, 9) 
1 Ave & E 44 St	 (8, 7) 
1 Ave & E 62 St	 (12, 9) 
1 Ave & E 68 St	 (9, 12) 
1 Ave & E 78 St	 (180, 147) 
1 Ave & E 94 St	 (3, 2) 
10 St & 5 Ave	 (1, 3) 
10 St & 7 Ave	 (2, 0) 
11 Ave & W 27 St	 (34, 28) 
11 Ave & W 41 St	 (7, 4) 
11 Ave & W 59 St	 (6, 11) 
12 Ave & W 40 St	 (49, 44) 
12 St & 4 Ave	 (0, 1) 
14 St & 5 Ave	 (1, 1) 
14 St & 7 Ave	 (1, 3) 
19 St & 24 Ave	 (1, 0) 
2 Ave & E 104 St	 (0, 2) 
2 Ave & E 122 St	 (1, 0) 
2 Ave & E 31 St	 (5, 9) 
2 Ave & E 72 St	 (4, 4) 
2 Ave & E 96 St	 (2, 3) 
24 St & 41 Ave	 (1, 1) 
27 St & Hunter St	 (7, 1) 
28 Ave & 35 St	 (1, 3) 
3 Ave & 14 St	 (1, 0) 
3 Ave & Carroll St	 (2, 1) 
3 Ave & E 62 St	 (3, 1) 
3 Ave & E 71 St	 (0, 1) 
3 Ave & E 72 St	 (2, 2) 
3 Ave & E 95 St	 (1, 0) 
3 Ave & Schermerhorn St	 (4, 1) 
3 St & 3 Ave	 (3, 2) 
3 St & 7 Ave	 (74, 79) 
3 St & Prospect Park West	 (5, 7) 
31 Ave & 34 St	 (1, 0) 
31 St & 23 Ave	 (1, 0) 
31 St & Hoyt Ave N	 (1, 0) 
31 St & Thomson Ave	 (1, 1) 
36 Ave & 10 St	 (0, 1) 
37 Ave & 35 St	 (3, 1) 
39 St & 2 Ave - Citi Bike HQ at Industry City	 (1, 0) 
4 Ave & 9 St	 (1, 0) 
40 Ave & Crescent St	 (0, 1) 
43 St & Broadway	 (0, 1) 
44 Dr & 21 St	 (1, 1) 
44 Dr & Jackson Ave	 (0, 1) 
45 Rd & 11 St	 (2, 2) 
46 Ave & 5 St	 (16, 10) 
48 Ave & 5 St	 (4, 2) 
5 Ave & 3 St	 (5, 2) 
5 Ave & E 103 St	 (2, 1) 
5 Ave & E 29 St	 (3, 11) 
5 Ave & E 63 St	 (3, 4) 
5 Ave & E 73 St	 (12, 9) 
5 Ave & E 78 St	 (7, 5) 
5 Ave & E 88 St	 (4, 5) 
5 Ave & E 93 St	 (2, 0) 
5 St & 51 Ave	 (1, 1) 
5 St & 6 Ave	 (0, 2) 
6 Ave & 12 St	 (2, 2) 
6 Ave & 9 St	 (1, 0) 
6 Ave & Broome St	 (9, 11) 
6 Ave & Canal St	 (10, 8) 
6 St & 7 Ave	 (1, 2) 
7 Ave & Central Park South	 (8, 1) 
7 Ave & Park Pl	 (12, 7) 
7 St & 3 Ave	 (1, 0) 
7 St & 5 Ave	 (0, 2) 
8 Ave & W 31 St	 (16, 15) 
8 Ave & W 33 St	 (10, 10) 
8 Ave & W 52 St	 (3, 2) 
9 Ave & W 18 St	 (7, 3) 
9 Ave & W 28 St	 (10, 7) 
9 Ave & W 45 St	 (6, 7) 
9 St & 44 Rd	 (1, 0) 
Adam Clayton Powell Blvd & W 115 St	 (1, 1) 
Adelphi St & Myrtle Ave	 (3, 2) 
Allen St & Hester St	 (12, 9) 
Allen St & Rivington St	 (22, 10) 
Allen St & Stanton St	 (7, 11) 
Amsterdam Ave & W 125 St	 (5, 0) 
Amsterdam Ave & W 66 St	 (6, 2) 
Amsterdam Ave & W 73 St	 (14, 1) 
Amsterdam Ave & W 79 St	 (2, 4) 
Amsterdam Ave & W 82 St	 (1, 6) 
Atlantic Ave & Fort Greene Pl	 (4, 3) 
Atlantic Ave & Furman St	 (7, 5) 
Avenue C & E 18 St	 (6, 8) 
Avenue D & E 12 St	 (2, 3) 
Avenue D & E 3 St	 (3, 4) 
Avenue D & E 8 St	 (6, 7) 
Baltic St & 5 Ave	 (1, 1) 
Bank St & Hudson St	 (209, 200) 
Bank St & Washington St	 (0, 7) 
Banker St & Meserole Ave	 (6, 4) 
Barclay St & Church St	 (8, 5) 
Barrow St & Hudson St	 (16, 13) 
Bayard St & Baxter St	 (7, 8) 
Bayard St & Leonard St	 (3, 2) 
Bedford Ave & Bergen St	 (1, 5) 
Bedford Ave & Nassau Ave	 (4, 12) 
Bedford Ave & S 9 St	 (2, 1) 
Bergen St & Flatbush Ave	 (4, 7) 
Bergen St & Smith St	 (8, 3) 
Bergen St & Vanderbilt Ave	 (1, 8) 
Berkeley Pl & 6 Ave	 (1, 0) 
Berkeley Pl & 7 Ave	 (3, 4) 
Berry St & N 8 St	 (1, 2) 
Bialystoker Pl & Delancey St	 (5, 1) 
Boerum St & Broadway	 (4, 2) 
Bond St & Bergen St	 (1, 1) 
Bond St & Fulton St	 (11, 8) 
Broad St & Bridge St	 (42, 45) 
Broadway & 12 St	 (0, 1) 
Broadway & Battery Pl	 (7, 14) 
Broadway & Berry St	 (4, 3) 
Broadway & E 14 St	 (23, 21) 
Broadway & E 22 St	 (23, 24) 
Broadway & Moylan Pl	 (2, 8) 
Broadway & Roebling St	 (6, 3) 
Broadway & W 25 St	 (7, 10) 
Broadway & W 29 St	 (5, 11) 
Broadway & W 37 St	 (6, 9) 
Broadway & W 38 St	 (0, 4) 
Broadway & W 41 St	 (6, 3) 
Broadway & W 49 St	 (5, 7) 
Broadway & W 51 St	 (2, 4) 
Broadway & W 53 St	 (5, 5) 
