1 Ave & E 110 St	 (2, 0) 
1 Ave & E 16 St	 (18, 10) 
1 Ave & E 18 St	 (235, 208) 
1 Ave & E 30 St	 (6, 10) 
1 Ave & E 44 St	 (5, 12) 
1 Ave & E 62 St	 (11, 10) 
1 Ave & E 68 St	 (15, 9) 
1 Ave & E 78 St	 (148, 168) 
1 Pl & Clinton St	 (0, 1) 
10 Ave & W 28 St	 (6, 13) 
10 Hudson Yards	 (1, 0) 
10 St & 5 Ave	 (1, 2) 
10 St & 7 Ave	 (2, 0) 
11 Ave & W 27 St	 (23, 15) 
11 Ave & W 41 St	 (8, 7) 
11 Ave & W 59 St	 (16, 9) 
11 St & 43 Ave	 (1, 0) 
12 Ave & W 40 St	 (30, 35) 
12 St & 4 Ave	 (0, 1) 
14 St & 5 Ave	 (2, 0) 
14 St & 7 Ave	 (1, 3) 
2 Ave & E 104 St	 (1, 0) 
2 Ave & E 31 St	 (16, 15) 
2 Ave & E 72 St	 (4, 6) 
2 Ave & E 96 St	 (4, 2) 
21 St & 43 Ave	 (1, 1) 
23 Ave & 27 St	 (0, 1) 
27 St & Hunter St	 (0, 1) 
28 St & 36 Ave	 (1, 0) 
28 St & 41 Ave	 (1, 0) 
3 Ave & 14 St	 (1, 0) 
3 Ave & E 100 St	 (1, 0) 
3 Ave & E 62 St	 (1, 4) 
3 Ave & E 71 St	 (1, 2) 
3 Ave & E 72 St	 (1, 1) 
3 Ave & E 95 St	 (1, 0) 
3 Ave & Schermerhorn St	 (10, 4) 
3 St & 3 Ave	 (1, 1) 
3 St & 7 Ave	 (38, 42) 
3 St & Hoyt St	 (2, 4) 
3 St & Prospect Park West	 (4, 2) 
31 St & Broadway	 (1, 0) 
31 St & Hoyt Ave N	 (0, 1) 
31 St & Newtown Ave	 (0, 1) 
31 St & Thomson Ave	 (2, 0) 
34 Ave & 21 St	 (0, 1) 
37 Ave & 35 St	 (0, 1) 
4 Ave & 9 St	 (0, 3) 
40 Ave & 9 St	 (0, 1) 
43 St & Broadway	 (2, 1) 
44 Dr & 21 St	 (0, 1) 
44 Dr & Jackson Ave	 (5, 5) 
45 Rd & 11 St	 (0, 4) 
46 Ave & 5 St	 (11, 11) 
47 Ave & Skillman Ave	 (0, 1) 
48 Ave & 5 St	 (0, 1) 
49 Ave & 21 St	 (0, 1) 
5 Ave & 3 St	 (1, 0) 
5 Ave & E 63 St	 (1, 5) 
5 Ave & E 73 St	 (5, 3) 
5 Ave & E 78 St	 (13, 10) 
5 Ave & E 93 St	 (1, 2) 
5 St & 51 Ave	 (0, 2) 
5 St & 6 Ave	 (0, 1) 
6 Ave & 12 St	 (0, 1) 
6 Ave & 9 St	 (2, 1) 
6 Ave & Broome St	 (10, 16) 
6 Ave & Canal St	 (20, 14) 
6 St & 7 Ave	 (4, 3) 
7 Ave & Central Park South	 (5, 3) 
7 Ave & Park Pl	 (6, 1) 
7 St & 5 Ave	 (3, 0) 
8 Ave & W 31 St	 (19, 20) 
8 Ave & W 33 St	 (10, 11) 
8 Ave & W 52 St	 (11, 13) 
9 Ave & W 18 St	 (10, 5) 
9 Ave & W 28 St	 (9, 7) 
9 Ave & W 45 St	 (11, 9) 
9 St & 44 Rd	 (1, 0) 
Adam Clayton Powell Blvd & W 126 St	 (0, 2) 
Adelphi St & Myrtle Ave	 (3, 1) 
Albany Ave & Fulton St	 (0, 1) 
Allen St & Hester St	 (10, 10) 
Allen St & Rivington St	 (16, 7) 
Allen St & Stanton St	 (11, 9) 
Amsterdam Ave & W 66 St	 (3, 4) 
Amsterdam Ave & W 73 St	 (4, 7) 
Amsterdam Ave & W 79 St	 (2, 6) 
Amsterdam Ave & W 82 St	 (2, 2) 
Atlantic Ave & Fort Greene Pl	 (0, 4) 
Atlantic Ave & Furman St	 (5, 5) 
Avenue C & E 18 St	 (3, 5) 
Avenue D & E 12 St	 (6, 1) 
Avenue D & E 3 St	 (8, 3) 
Avenue D & E 8 St	 (2, 5) 
Baltic St & 5 Ave	 (4, 1) 
Bank St & Hudson St	 (199, 200) 
Bank St & Washington St	 (19, 14) 
Banker St & Meserole Ave	 (3, 5) 
Barclay St & Church St	 (6, 2) 
Barrow St & Hudson St	 (18, 17) 
Bayard St & Baxter St	 (5, 7) 
Bayard St & Leonard St	 (1, 1) 
Bedford Ave & Bergen St	 (1, 1) 
Bedford Ave & Nassau Ave	 (5, 10) 
Bedford Ave & S 9 St	 (5, 2) 
Bergen St & Flatbush Ave	 (2, 5) 
Bergen St & Smith St	 (5, 4) 
Bergen St & Vanderbilt Ave	 (1, 3) 
Berkeley Pl & 6 Ave	 (1, 0) 
Berkeley Pl & 7 Ave	 (5, 3) 
Berry St & N 8 St	 (1, 7) 
Bialystoker Pl & Delancey St	 (8, 1) 
Boerum St & Broadway	 (2, 2) 
Bond St & Bergen St	 (2, 1) 
Bond St & Fulton St	 (6, 8) 
