1 Ave & E 110 St	 (0, 1) 
1 Ave & E 16 St	 (18, 19) 
1 Ave & E 18 St	 (211, 199) 
1 Ave & E 30 St	 (7, 10) 
1 Ave & E 44 St	 (7, 7) 
1 Ave & E 62 St	 (9, 9) 
1 Ave & E 68 St	 (9, 11) 
1 Ave & E 78 St	 (149, 151) 
1 Ave & E 94 St	 (4, 3) 
1 Pl & Clinton St	 (3, 2) 
10 Hudson Yards	 (2, 0) 
10 St & 5 Ave	 (1, 1) 
10 St & 7 Ave	 (4, 1) 
11 Ave & W 27 St	 (10, 9) 
11 Ave & W 41 St	 (5, 8) 
11 Ave & W 59 St	 (13, 11) 
12 Ave & W 40 St	 (22, 26) 
12 St & 4 Ave	 (3, 2) 
14 St & 5 Ave	 (1, 0) 
14 St & 7 Ave	 (3, 3) 
2 Ave & E 104 St	 (3, 1) 
2 Ave & E 122 St	 (0, 1) 
2 Ave & E 31 St	 (13, 12) 
2 Ave & E 72 St	 (9, 12) 
2 Ave & E 96 St	 (3, 2) 
21 St & 43 Ave	 (0, 1) 
23 Ave & 27 St	 (1, 0) 
24 St & 41 Ave	 (1, 0) 
27 St & Hunter St	 (2, 0) 
28 Ave & 35 St	 (1, 0) 
28 St & 36 Ave	 (0, 1) 
28 St & 38 Ave	 (1, 1) 
28 St & 41 Ave	 (1, 0) 
3 Ave & 14 St	 (0, 1) 
3 Ave & E 112 St	 (0, 2) 
3 Ave & E 62 St	 (1, 2) 
3 Ave & E 71 St	 (2, 0) 
3 Ave & E 72 St	 (2, 1) 
3 Ave & E 95 St	 (2, 1) 
3 Ave & Schermerhorn St	 (2, 0) 
3 St & 7 Ave	 (54, 57) 
3 St & Hoyt St	 (1, 0) 
3 St & Prospect Park West	 (2, 1) 
30 Ave & 21 St	 (1, 0) 
31 St & Astoria Blvd	 (0, 1) 
31 St & Northern Blvd	 (1, 0) 
31 St & Thomson Ave	 (1, 0) 
34 Ave & 13 St	 (1, 0) 
35 Ave & 10 St	 (0, 1) 
35 Ave & 37 St	 (0, 1) 
36 Ave & 31 St	 (1, 0) 
40 Ave & Crescent St	 (1, 0) 
44 Dr & 21 St	 (2, 0) 
44 Dr & Jackson Ave	 (2, 3) 
45 Rd & 11 St	 (1, 1) 
46 Ave & 5 St	 (9, 11) 
47 Ave & 31 St	 (0, 1) 
47 Ave & Skillman Ave	 (0, 1) 
48 Ave & 5 St	 (4, 1) 
49 Ave & 21 St	 (0, 1) 
5 Ave & 3 St	 (5, 3) 
5 Ave & E 103 St	 (0, 1) 
5 Ave & E 126 St	 (1, 1) 
5 Ave & E 29 St	 (8, 10) 
5 Ave & E 63 St	 (4, 2) 
5 Ave & E 73 St	 (5, 5) 
5 Ave & E 78 St	 (3, 5) 
5 Ave & E 88 St	 (2, 2) 
5 Ave & E 93 St	 (1, 1) 
5 St & 6 Ave	 (0, 3) 
5 St & Market St	 (1, 2) 
6 Ave & 12 St	 (1, 2) 
6 Ave & 9 St	 (3, 2) 
6 Ave & Broome St	 (9, 9) 
6 Ave & Canal St	 (12, 11) 
6 St & 7 Ave	 (1, 0) 
7 Ave & Central Park South	 (2, 2) 
7 Ave & Park Pl	 (14, 10) 
7 St & 3 Ave	 (0, 4) 
7 St & 5 Ave	 (0, 1) 
8 Ave & W 31 St	 (21, 21) 
8 Ave & W 33 St	 (10, 13) 
8 Ave & W 52 St	 (9, 3) 
9 Ave & W 18 St	 (5, 4) 
9 Ave & W 28 St	 (4, 4) 
9 Ave & W 45 St	 (8, 12) 
9 St & 44 Rd	 (1, 1) 
Adam Clayton Powell Blvd & W 123 St	 (2, 2) 
Adam Clayton Powell Blvd & W 126 St	 (0, 1) 
Adelphi St & Myrtle Ave	 (0, 2) 
Allen St & Hester St	 (8, 6) 
Allen St & Rivington St	 (13, 7) 
Allen St & Stanton St	 (18, 17) 
Amsterdam Ave & W 66 St	 (4, 3) 
Amsterdam Ave & W 73 St	 (10, 10) 
Amsterdam Ave & W 79 St	 (5, 4) 
Amsterdam Ave & W 82 St	 (2, 2) 
Atlantic Ave & Fort Greene Pl	 (1, 8) 
Atlantic Ave & Furman St	 (3, 1) 
Avenue C & E 18 St	 (5, 11) 
Avenue D & E 12 St	 (0, 3) 
Avenue D & E 3 St	 (1, 3) 
Avenue D & E 8 St	 (7, 5) 
Baltic St & 5 Ave	 (1, 1) 
